Years of Experience,Salary Average,Education Level
11.0,198000.0,Master's Degree
12.0,196000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
12.0,196000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
12.0,196000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,196000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
12.0,196000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,150000.0,Master's Degree
11.0,190000.0,Master's Degree
11.0,195000.0,Master's Degree
6.0,150000.0,Master's Degree
11.0,195000.0,Master's Degree
6.0,170000.0,Master's Degree
11.0,195000.0,Master's Degree
12.0,190000.0,Master's Degree
6.0,150000.0,Master's Degree
11.0,195000.0,Master's Degree
6.0,150000.0,Master's Degree
11.0,195000.0,Master's Degree
6.0,150000.0,Master's Degree
11.0,195000.0,Master's Degree
6.0,150000.0,Master's Degree
11.0,195000.0,Master's Degree
6.0,150000.0,Master's Degree
11.0,195000.0,Master's Degree
6.0,150000.0,Master's Degree
11.0,195000.0,Master's Degree
6.0,150000.0,Master's Degree
11.0,195000.0,Master's Degree
6.0,150000.0,Master's Degree
11.0,195000.0,Master's Degree
6.0,150000.0,Master's Degree
11.0,195000.0,Master's Degree
6.0,150000.0,Master's Degree
11.0,195000.0,Master's Degree
10.0,195000.0,Master's Degree
6.0,170000.0,Master's Degree
6.0,150000.0,Master's Degree
9.0,185000.0,Master's Degree
6.0,155000.0,Master's Degree
10.0,195000.0,Master's Degree
6.0,170000.0,Master's Degree
6.0,150000.0,Master's Degree
9.0,185000.0,Master's Degree
6.0,155000.0,Master's Degree
10.0,195000.0,Master's Degree
6.0,170000.0,Master's Degree
6.0,150000.0,Master's Degree
9.0,185000.0,Master's Degree
6.0,155000.0,Master's Degree
10.0,195000.0,Master's Degree
6.0,170000.0,Master's Degree
6.0,150000.0,Master's Degree
9.0,185000.0,Master's Degree
6.0,155000.0,Master's Degree
10.0,195000.0,Master's Degree
6.0,170000.0,Master's Degree
6.0,150000.0,Master's Degree
9.0,185000.0,Master's Degree
6.0,155000.0,Master's Degree
3.0,180000.0,Master's Degree
15.0,198000.0,Master's Degree
6.0,175000.0,Master's Degree
4.0,182000.0,Master's Degree
5.0,110000.0,Master's Degree
3.0,100000.0,Master's Degree
8.0,155000.0,Master's Degree
13.0,180000.0,Master's Degree
11.0,165000.0,Master's Degree
9.0,145000.0,Master's Degree
3.0,90000.0,Master's Degree
9.0,155000.0,Master's Degree
12.0,170000.0,Master's Degree
7.0,140000.0,Master's Degree
2.0,70000.0,Master's Degree
11.0,170000.0,Master's Degree
8.0,140000.0,Master's Degree
11.0,165000.0,Master's Degree
3.0,90000.0,Master's Degree
6.0,130000.0,Master's Degree
1.0,60000.0,Master's Degree
8.0,150000.0,Master's Degree
12.0,170000.0,Master's Degree
6.0,125000.0,Master's Degree
11.0,160000.0,Master's Degree
3.0,95000.0,Master's Degree
5.0,120000.0,Master's Degree
2.0,75000.0,Master's Degree
12.0,160000.0,Master's Degree
6.0,130000.0,Master's Degree
9.0,145000.0,Master's Degree
12.0,170000.0,Master's Degree
10.0,155000.0,Master's Degree
6.0,125000.0,Master's Degree
11.0,170000.0,Master's Degree
3.0,100000.0,Master's Degree
10.0,155000.0,Master's Degree
6.0,125000.0,Master's Degree
4.0,110000.0,Master's Degree
6.0,130000.0,Master's Degree
9.0,150000.0,Master's Degree
7.0,140000.0,Master's Degree
5.0,120000.0,Master's Degree
6.0,130000.0,Master's Degree
6.0,130000.0,Master's Degree
7.0,140000.0,Master's Degree
11.0,170000.0,Master's Degree
2.0,70000.0,Master's Degree
8.0,140000.0,Master's Degree
6.0,130000.0,Master's Degree
12.0,165000.0,Master's Degree
7.0,140000.0,Master's Degree
9.0,150000.0,Master's Degree
3.0,90000.0,Master's Degree
2.0,70000.0,Master's Degree
3.0,100000.0,Master's Degree
10.0,155000.0,Master's Degree
12.0,170000.0,Master's Degree
7.0,140000.0,Master's Degree
6.0,130000.0,Master's Degree
6.0,130000.0,Master's Degree
11.0,170000.0,Master's Degree
7.0,140000.0,Master's Degree
4.0,110000.0,Master's Degree
9.0,145000.0,Master's Degree
3.0,100000.0,Master's Degree
10.0,155000.0,Master's Degree
6.0,125000.0,Master's Degree
7.0,140000.0,Master's Degree
11.0,170000.0,Master's Degree
9.0,150000.0,Master's Degree
7.0,140000.0,Master's Degree
2.0,70000.0,Master's Degree
6.0,130000.0,Master's Degree
4.0,110000.0,Master's Degree
9.0,145000.0,Master's Degree
7.0,140000.0,Master's Degree
10.0,155000.0,Master's Degree
6.0,130000.0,Master's Degree
8.0,140000.0,Master's Degree
6.0,120000.0,Master's Degree
3.0,90000.0,Master's Degree
4.0,110000.0,Master's Degree
2.0,65000.0,Master's Degree
7.0,130000.0,Master's Degree
5.0,120000.0,Master's Degree
10.0,155000.0,Master's Degree
3.0,100000.0,Master's Degree
9.0,150000.0,Master's Degree
12.0,170000.0,Master's Degree
10.0,155000.0,Master's Degree
7.0,140000.0,Master's Degree
6.0,130000.0,Master's Degree
6.0,130000.0,Master's Degree
11.0,170000.0,Master's Degree
7.0,140000.0,Master's Degree
4.0,110000.0,Master's Degree
9.0,145000.0,Master's Degree
3.0,100000.0,Master's Degree
10.0,155000.0,Master's Degree
6.0,125000.0,Master's Degree
7.0,140000.0,Master's Degree
11.0,170000.0,Master's Degree
9.0,150000.0,Master's Degree
7.0,140000.0,Master's Degree
2.0,70000.0,Master's Degree
6.0,125000.0,Master's Degree
8.0,140000.0,Master's Degree
11.0,170000.0,Master's Degree
6.0,130000.0,Master's Degree
10.0,155000.0,Master's Degree
7.0,135000.0,Master's Degree
2.0,70000.0,Master's Degree
11.0,170000.0,Master's Degree
9.0,150000.0,Master's Degree
6.0,125000.0,Master's Degree
2.0,70000.0,Master's Degree
10.0,155000.0,Master's Degree
11.0,170000.0,Master's Degree
9.0,150000.0,Master's Degree
2.0,70000.0,Master's Degree
7.0,135000.0,Master's Degree
10.0,155000.0,Master's Degree
11.0,170000.0,Master's Degree
6.0,125000.0,Master's Degree
9.0,150000.0,Master's Degree
2.0,70000.0,Master's Degree
12.0,170000.0,Master's Degree
7.0,135000.0,Master's Degree
8.0,140000.0,Master's Degree
6.0,130000.0,Master's Degree
2.0,70000.0,Master's Degree
11.0,170000.0,Master's Degree
6.0,125000.0,Master's Degree
10.0,155000.0,Master's Degree
7.0,140000.0,Master's Degree
6.0,130000.0,Master's Degree
10.0,155000.0,Master's Degree
3.0,100000.0,Master's Degree
7.0,135000.0,Master's Degree
7.0,140000.0,Master's Degree
2.0,70000.0,Master's Degree
6.0,125000.0,Master's Degree
8.0,140000.0,Master's Degree
11.0,170000.0,Master's Degree
6.0,130000.0,Master's Degree
10.0,155000.0,Master's Degree
7.0,135000.0,Master's Degree
2.0,70000.0,Master's Degree
11.0,170000.0,Master's Degree
9.0,150000.0,Master's Degree
6.0,125000.0,Master's Degree
10.0,155000.0,Master's Degree
7.0,140000.0,Master's Degree
8.0,140000.0,Master's Degree
2.0,70000.0,Master's Degree
7.0,135000.0,Master's Degree
3.0,100000.0,Master's Degree
6.0,125000.0,Master's Degree
8.0,140000.0,Master's Degree
11.0,170000.0,Master's Degree
6.0,130000.0,Master's Degree
10.0,155000.0,Master's Degree
7.0,135000.0,Master's Degree
2.0,70000.0,Master's Degree
11.0,170000.0,Master's Degree
9.0,150000.0,Master's Degree
6.0,125000.0,Master's Degree
10.0,155000.0,Master's Degree
3.0,90000.0,Master's Degree
1.0,55000.0,Master's Degree
5.0,105000.0,Master's Degree
11.0,160000.0,Master's Degree
3.0,90000.0,Master's Degree
5.0,105000.0,Master's Degree
1.0,55000.0,Master's Degree
5.0,105000.0,Master's Degree
11.0,160000.0,Master's Degree
3.0,90000.0,Master's Degree
5.0,105000.0,Master's Degree
1.0,55000.0,Master's Degree
5.0,105000.0,Master's Degree
11.0,160000.0,Master's Degree
3.0,90000.0,Master's Degree
5.0,105000.0,Master's Degree
1.0,55000.0,Master's Degree
5.0,105000.0,Master's Degree
11.0,160000.0,Master's Degree
3.0,90000.0,Master's Degree
5.0,105000.0,Master's Degree
1.0,55000.0,Master's Degree
5.0,105000.0,Master's Degree
11.0,160000.0,Master's Degree
3.0,90000.0,Master's Degree
5.0,105000.0,Master's Degree
1.0,55000.0,Master's Degree
5.0,105000.0,Master's Degree
11.0,160000.0,Master's Degree
3.0,90000.0,Master's Degree
5.0,105000.0,Master's Degree
13.0,170000.0,Master's Degree
7.0,130000.0,Master's Degree
8.0,140000.0,Master's Degree
4.0,90000.0,Master's Degree
13.0,170000.0,Master's Degree
12.0,160000.0,Master's Degree
9.0,150000.0,Master's Degree
12.0,160000.0,Master's Degree
9.0,150000.0,Master's Degree
12.0,160000.0,Master's Degree
9.0,150000.0,Master's Degree
12.0,160000.0,Master's Degree
9.0,150000.0,Master's Degree
12.0,160000.0,Master's Degree
9.0,150000.0,Master's Degree
12.0,160000.0,Master's Degree
9.0,150000.0,Master's Degree
12.0,160000.0,Master's Degree
9.0,150000.0,Master's Degree
12.0,160000.0,Master's Degree
9.0,150000.0,Master's Degree
12.0,160000.0,Master's Degree
9.0,150000.0,Master's Degree
12.0,160000.0,Master's Degree
12.0,160000.0,Master's Degree
6.0,115000.0,Master's Degree
8.0,140000.0,Master's Degree
5.0,105000.0,Master's Degree
13.0,170000.0,Master's Degree
12.0,160000.0,Master's Degree
6.0,115000.0,Master's Degree
8.0,140000.0,Master's Degree
5.0,105000.0,Master's Degree
13.0,170000.0,Master's Degree
12.0,160000.0,Master's Degree
6.0,115000.0,Master's Degree
8.0,140000.0,Master's Degree
5.0,105000.0,Master's Degree
13.0,170000.0,Master's Degree
12.0,160000.0,Master's Degree
6.0,115000.0,Master's Degree
8.0,140000.0,Master's Degree
5.0,105000.0,Master's Degree
13.0,170000.0,Master's Degree
12.0,160000.0,Master's Degree
6.0,115000.0,Master's Degree
8.0,140000.0,Master's Degree
5.0,105000.0,Master's Degree
13.0,170000.0,Master's Degree
12.0,160000.0,Master's Degree
6.0,115000.0,Master's Degree
8.0,140000.0,Master's Degree
5.0,105000.0,Master's Degree
13.0,170000.0,Master's Degree
12.0,160000.0,Master's Degree
6.0,115000.0,Master's Degree
8.0,140000.0,Master's Degree
5.0,105000.0,Master's Degree
13.0,170000.0,Master's Degree
10.0,150000.0,Master's Degree
6.0,115000.0,Master's Degree
8.0,140000.0,Master's Degree
5.0,105000.0,Master's Degree
13.0,170000.0,Master's Degree
12.0,160000.0,Master's Degree
6.0,115000.0,Master's Degree
8.0,140000.0,Master's Degree
5.0,105000.0,Master's Degree
13.0,170000.0,Master's Degree
12.0,160000.0,Master's Degree
6.0,115000.0,Master's Degree
8.0,140000.0,Master's Degree
5.0,105000.0,Master's Degree
13.0,170000.0,Master's Degree
12.0,160000.0,Master's Degree
6.0,115000.0,Master's Degree
8.0,140000.0,Master's Degree
5.0,105000.0,Master's Degree
13.0,170000.0,Master's Degree
12.0,160000.0,Master's Degree
6.0,115000.0,Master's Degree
8.0,140000.0,Master's Degree
5.0,105000.0,Master's Degree
13.0,170000.0,Master's Degree
12.0,160000.0,Master's Degree
6.0,115000.0,Master's Degree
8.0,140000.0,Master's Degree
5.0,105000.0,Master's Degree
13.0,170000.0,Master's Degree
12.0,160000.0,Master's Degree
6.0,115000.0,Master's Degree
8.0,140000.0,Master's Degree
5.0,105000.0,Master's Degree
13.0,170000.0,Master's Degree
8.0,130000.0,Master's Degree
8.0,140000.0,Master's Degree
7.0,120000.0,Master's Degree
9.0,150000.0,Master's Degree
14.0,180000.0,Master's Degree
10.0,150000.0,Master's Degree
6.0,115000.0,Master's Degree
8.0,140000.0,Master's Degree
5.0,105000.0,Master's Degree
13.0,170000.0,Master's Degree
12.0,160000.0,Master's Degree
6.0,115000.0,Master's Degree
8.0,140000.0,Master's Degree
5.0,105000.0,Master's Degree
13.0,170000.0,Master's Degree
12.0,160000.0,Master's Degree
6.0,115000.0,Master's Degree
8.0,140000.0,Master's Degree
5.0,105000.0,Master's Degree
11.0,170000.0,Master's Degree
7.0,120000.0,Master's Degree
9.0,150000.0,Master's Degree
14.0,180000.0,Master's Degree
10.0,150000.0,Master's Degree
6.0,115000.0,Master's Degree
8.0,140000.0,Master's Degree
5.0,105000.0,Master's Degree
13.0,170000.0,Master's Degree
12.0,160000.0,Master's Degree
6.0,115000.0,Master's Degree
8.0,140000.0,Master's Degree
5.0,105000.0,Master's Degree
13.0,170000.0,Master's Degree
12.0,160000.0,Master's Degree
6.0,115000.0,Master's Degree
8.0,140000.0,Master's Degree
7.0,95000.0,Master's Degree
6.0,120000.0,Master's Degree
2.0,60000.0,Master's Degree
8.0,100000.0,Master's Degree
14.0,180000.0,Master's Degree
9.0,120000.0,Master's Degree
9.0,140000.0,Master's Degree
7.0,110000.0,Master's Degree
2.0,60000.0,Master's Degree
8.0,100000.0,Master's Degree
14.0,180000.0,Master's Degree
9.0,120000.0,Master's Degree
9.0,140000.0,Master's Degree
7.0,110000.0,Master's Degree
2.0,60000.0,Master's Degree
8.0,100000.0,Master's Degree
14.0,180000.0,Master's Degree
9.0,120000.0,Master's Degree
9.0,140000.0,Master's Degree
7.0,110000.0,Master's Degree
2.0,60000.0,Master's Degree
8.0,100000.0,Master's Degree
14.0,180000.0,Master's Degree
9.0,120000.0,Master's Degree
9.0,140000.0,Master's Degree
7.0,110000.0,Master's Degree
2.0,60000.0,Master's Degree
8.0,100000.0,Master's Degree
14.0,180000.0,Master's Degree
9.0,120000.0,Master's Degree
9.0,140000.0,Master's Degree
7.0,110000.0,Master's Degree
2.0,60000.0,Master's Degree
8.0,100000.0,Master's Degree
14.0,180000.0,Master's Degree
9.0,120000.0,Master's Degree
9.0,140000.0,Master's Degree
7.0,110000.0,Master's Degree
2.0,60000.0,Master's Degree
8.0,100000.0,Master's Degree
14.0,180000.0,Master's Degree
9.0,120000.0,Master's Degree
9.0,140000.0,Master's Degree
21.0,187081.0,Master's Degree
5.0,78354.0,Master's Degree
6.0,132720.0,Master's Degree
13.0,127346.0,Master's Degree
8.0,101332.0,Master's Degree
21.0,185119.0,Master's Degree
21.0,166512.0,Master's Degree
28.0,186963.0,Master's Degree
10.0,163398.0,Master's Degree
27.0,190004.0,Master's Degree
10.0,152039.0,Master's Degree
5.0,76742.0,Master's Degree
12.0,160976.0,Master's Degree
9.0,126753.0,Master's Degree
14.0,161393.0,Master's Degree
8.0,139817.0,Master's Degree
6.0,105725.0,Master's Degree
8.0,106492.0,Master's Degree
5.0,99747.0,Master's Degree
7.0,115920.0,Master's Degree
11.0,128078.0,Master's Degree
0.0,55538.0,Master's Degree
4.0,104702.0,Master's Degree
16.0,138032.0,Master's Degree
17.0,155414.0,Master's Degree
8.0,107895.0,Master's Degree
4.0,102859.0,Master's Degree
33.0,188232.0,Master's Degree
16.0,138286.0,Master's Degree
4.0,73938.0,Master's Degree
6.0,101186.0,Master's Degree
14.0,142360.0,Master's Degree
15.0,134641.0,Master's Degree
25.0,178859.0,Master's Degree
13.0,134858.0,Master's Degree
21.0,187081.0,Master's Degree
5.0,78354.0,Master's Degree
6.0,132720.0,Master's Degree
13.0,127346.0,Master's Degree
8.0,101332.0,Master's Degree
21.0,185119.0,Master's Degree
21.0,166512.0,Master's Degree
28.0,186963.0,Master's Degree
10.0,163398.0,Master's Degree
27.0,190004.0,Master's Degree
10.0,152039.0,Master's Degree
5.0,76742.0,Master's Degree
12.0,160976.0,Master's Degree
9.0,126753.0,Master's Degree
14.0,161393.0,Master's Degree
8.0,139817.0,Master's Degree
6.0,105725.0,Master's Degree
8.0,106492.0,Master's Degree
5.0,99747.0,Master's Degree
7.0,115920.0,Master's Degree
11.0,128078.0,Master's Degree
0.0,55538.0,Master's Degree
4.0,104702.0,Master's Degree
16.0,138032.0,Master's Degree
17.0,155414.0,Master's Degree
8.0,107895.0,Master's Degree
4.0,102859.0,Master's Degree
33.0,188232.0,Master's Degree
16.0,138286.0,Master's Degree
4.0,73938.0,Master's Degree
6.0,101186.0,Master's Degree
14.0,142360.0,Master's Degree
15.0,134641.0,Master's Degree
25.0,178859.0,Master's Degree
13.0,134858.0,Master's Degree
5.0,106278.0,Master's Degree
4.0,90452.0,Master's Degree
19.0,152203.0,Master's Degree
9.0,130275.0,Master's Degree
21.0,174305.0,Master's Degree
4.0,75656.0,Master's Degree
11.0,137775.0,Master's Degree
22.0,182237.0,Master's Degree
10.0,151901.0,Master's Degree
20.0,167207.0,Master's Degree
10.0,112439.0,Master's Degree
13.0,139413.0,Master's Degree
25.0,192344.0,Master's Degree
26.0,184816.0,Master's Degree
15.0,170995.0,Master's Degree
10.0,119419.0,Master's Degree
23.0,174436.0,Master's Degree
14.0,163558.0,Master's Degree
31.0,193746.0,Master's Degree
8.0,122581.0,Master's Degree
4.0,89843.0,Master's Degree
6.0,113563.0,Master's Degree
8.0,121454.0,Master's Degree
3.0,72649.0,Master's Degree
24.0,184006.0,Master's Degree
5.0,102465.0,Master's Degree
16.0,149748.0,Master's Degree
13.0,146351.0,Master's Degree
4.0,90944.0,Master's Degree
5.0,100425.0,Master's Degree
22.0,181902.0,Master's Degree
9.0,136533.0,Master's Degree
19.0,176643.0,Master's Degree
6.0,99363.0,Master's Degree
19.0,152944.0,Master's Degree
21.0,168906.0,Master's Degree
14.0,135853.0,Master's Degree
28.0,186610.0,Master's Degree
4.0,85825.0,Master's Degree
24.0,174726.0,Master's Degree
21.0,187951.0,Master's Degree
5.0,102868.0,Master's Degree
8.0,111535.0,Master's Degree
6.0,107906.0,Master's Degree
6.0,108607.0,Master's Degree
4.0,75969.0,Master's Degree
15.0,143705.0,Master's Degree
8.0,123781.0,Master's Degree
28.0,187120.0,Master's Degree
22.0,179045.0,Master's Degree
10.0,130355.0,Master's Degree
10.0,117314.0,Master's Degree
11.0,129686.0,Master's Degree
25.0,177913.0,Master's Degree
3.0,68472.0,Master's Degree
6.0,113065.0,Master's Degree
9.0,126916.0,Master's Degree
4.0,76898.0,Master's Degree
8.0,120000.0,Master's Degree
9.0,140000.0,Master's Degree
11.0,160000.0,Master's Degree
2.0,60000.0,Master's Degree
7.0,130000.0,Master's Degree
6.0,110000.0,Master's Degree
8.0,100000.0,Master's Degree
10.0,160000.0,Master's Degree
9.0,140000.0,Master's Degree
7.0,120000.0,Master's Degree
2.0,60000.0,Master's Degree
8.0,100000.0,Master's Degree
14.0,180000.0,Master's Degree
9.0,120000.0,Master's Degree
9.0,140000.0,Master's Degree
7.0,110000.0,Master's Degree
2.0,60000.0,Master's Degree
8.0,100000.0,Master's Degree
14.0,180000.0,Master's Degree
9.0,120000.0,Master's Degree
9.0,140000.0,Master's Degree
7.0,110000.0,Master's Degree
2.0,60000.0,Master's Degree
8.0,100000.0,Master's Degree
14.0,180000.0,Master's Degree
9.0,120000.0,Master's Degree
9.0,140000.0,Master's Degree
7.0,110000.0,Master's Degree
2.0,60000.0,Master's Degree
8.0,100000.0,Master's Degree
14.0,180000.0,Master's Degree
9.0,120000.0,Master's Degree
9.0,140000.0,Master's Degree
7.0,110000.0,Master's Degree
2.0,60000.0,Master's Degree
8.0,100000.0,Master's Degree
14.0,180000.0,Master's Degree
9.0,120000.0,Master's Degree
9.0,140000.0,Master's Degree
7.0,110000.0,Master's Degree
2.0,60000.0,Master's Degree
8.0,100000.0,Master's Degree
14.0,180000.0,Master's Degree
9.0,120000.0,Master's Degree
19.0,163780.0,Master's Degree
4.0,92438.0,Master's Degree
5.0,84181.0,Master's Degree
18.0,152168.0,Master's Degree
9.0,131547.0,Master's Degree
20.0,174938.0,Master's Degree
3.0,73640.0,Master's Degree
11.0,138859.0,Master's Degree
23.0,182392.0,Master's Degree
11.0,151078.0,Master's Degree
20.0,167924.0,Master's Degree
10.0,113334.0,Master's Degree
13.0,140010.0,Master's Degree
24.0,192756.0,Master's Degree
27.0,186794.0,Master's Degree
15.0,171652.0,Master's Degree
9.0,119918.0,Master's Degree
23.0,174336.0,Master's Degree
14.0,163978.0,Master's Degree
32.0,195270.0,Master's Degree
8.0,122970.0,Master's Degree
4.0,91062.0,Master's Degree
6.0,114290.0,Master's Degree
8.0,122354.0,Master's Degree
3.0,73218.0,Master's Degree
24.0,184480.0,Master's Degree
5.0,102828.0,Master's Degree
16.0,150301.0,Master's Degree
13.0,147326.0,Master's Degree
4.0,91397.0,Master's Degree
5.0,100867.0,Master's Degree
22.0,182506.0,Master's Degree
9.0,136986.0,Master's Degree
19.0,177347.0,Master's Degree
9.0,146075.0,Master's Degree
9.0,132638.0,Master's Degree
28.0,191239.0,Master's Degree
2.0,65840.0,Master's Degree
23.0,185038.0,Master's Degree
