Years of Experience,Salary Average,Education Level
12.0,90000.0,Bachelor's Degree
3.0,45000.0,Bachelor's Degree
7.0,80000.0,Bachelor's Degree
1.5,35000.0,Bachelor's Degree
14.0,110000.0,Bachelor's Degree
4.0,50000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
16.0,140000.0,Bachelor's Degree
7.0,85000.0,Bachelor's Degree
4.0,50000.0,Bachelor's Degree
10.0,80000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
8.0,85000.0,Bachelor's Degree
14.0,130000.0,Bachelor's Degree
9.0,100000.0,Bachelor's Degree
1.5,35000.0,Bachelor's Degree
12.0,95000.0,Bachelor's Degree
3.0,45000.0,Bachelor's Degree
7.0,95000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
11.0,90000.0,Bachelor's Degree
5.0,55000.0,Bachelor's Degree
3.0,45000.0,Bachelor's Degree
16.0,130000.0,Bachelor's Degree
7.0,90000.0,Bachelor's Degree
4.0,50000.0,Bachelor's Degree
10.0,120000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
8.0,85000.0,Bachelor's Degree
14.0,130000.0,Bachelor's Degree
9.0,95000.0,Bachelor's Degree
1.5,35000.0,Bachelor's Degree
12.0,100000.0,Bachelor's Degree
3.0,45000.0,Bachelor's Degree
7.0,100000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
11.0,105000.0,Bachelor's Degree
5.0,70000.0,Bachelor's Degree
3.0,45000.0,Bachelor's Degree
15.0,120000.0,Bachelor's Degree
8.0,85000.0,Bachelor's Degree
3.0,45000.0,Bachelor's Degree
9.0,100000.0,Bachelor's Degree
5.0,70000.0,Bachelor's Degree
10.0,120000.0,Bachelor's Degree
1.5,40000.0,Bachelor's Degree
10.0,120000.0,Bachelor's Degree
6.0,70000.0,Bachelor's Degree
8.0,95000.0,Bachelor's Degree
3.0,50000.0,Bachelor's Degree
11.0,95000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
8.0,85000.0,Bachelor's Degree
14.0,130000.0,Bachelor's Degree
9.0,95000.0,Bachelor's Degree
1.5,350.0,Bachelor's Degree
10.0,120000.0,Bachelor's Degree
3.0,50000.0,Bachelor's Degree
12.0,110000.0,Bachelor's Degree
1.5,40000.0,Bachelor's Degree
8.0,95000.0,Bachelor's Degree
4.0,60000.0,Bachelor's Degree
9.0,110000.0,Bachelor's Degree
4.0,60000.0,Bachelor's Degree
8.0,90000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
9.0,120000.0,Bachelor's Degree
5.0,70000.0,Bachelor's Degree
8.0,95000.0,Bachelor's Degree
3.0,50000.0,Bachelor's Degree
11.0,95000.0,Bachelor's Degree
1.5,35000.0,Bachelor's Degree
9.0,100000.0,Bachelor's Degree
4.0,60000.0,Bachelor's Degree
8.0,85000.0,Bachelor's Degree
13.0,130000.0,Bachelor's Degree
4.0,65000.0,Bachelor's Degree
10.0,110000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
7.0,90000.0,Bachelor's Degree
4.0,60000.0,Bachelor's Degree
12.0,130000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
9.0,100000.0,Bachelor's Degree
3.0,55000.0,Bachelor's Degree
9.0,120000.0,Bachelor's Degree
5.0,70000.0,Bachelor's Degree
8.0,95000.0,Bachelor's Degree
3.0,50000.0,Bachelor's Degree
12.0,120000.0,Bachelor's Degree
1.5,35000.0,Bachelor's Degree
9.0,100000.0,Bachelor's Degree
4.0,60000.0,Bachelor's Degree
8.0,85000.0,Bachelor's Degree
13.0,130000.0,Bachelor's Degree
8.0,95000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
10.0,120000.0,Bachelor's Degree
4.0,65000.0,Bachelor's Degree
12.0,130000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
9.0,100000.0,Bachelor's Degree
3.0,55000.0,Bachelor's Degree
10.0,110000.0,Bachelor's Degree
3.0,50000.0,Bachelor's Degree
12.0,130000.0,Bachelor's Degree
4.0,60000.0,Bachelor's Degree
8.0,95000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
7.0,90000.0,Bachelor's Degree
5.0,70000.0,Bachelor's Degree
8.0,90000.0,Bachelor's Degree
3.0,50000.0,Bachelor's Degree
14.0,150000.0,Bachelor's Degree
4.0,60000.0,Bachelor's Degree
8.0,85000.0,Bachelor's Degree
1.0,35000.0,Bachelor's Degree
8.0,110000.0,Bachelor's Degree
3.0,55000.0,Bachelor's Degree
10.0,110000.0,Bachelor's Degree
3.0,50000.0,Bachelor's Degree
12.0,130000.0,Bachelor's Degree
4.0,60000.0,Bachelor's Degree
8.0,95000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
7.0,90000.0,Bachelor's Degree
5.0,70000.0,Bachelor's Degree
8.0,90000.0,Bachelor's Degree
3.0,50000.0,Bachelor's Degree
14.0,150000.0,Bachelor's Degree
4.0,60000.0,Bachelor's Degree
8.0,85000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
7.0,90000.0,Bachelor's Degree
3.0,125000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
7.0,170000.0,Bachelor's Degree
6.0,155000.0,Bachelor's Degree
5.0,145000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
9.0,185000.0,Bachelor's Degree
6.0,155000.0,Bachelor's Degree
5.0,145000.0,Bachelor's Degree
3.0,125000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
7.0,170000.0,Bachelor's Degree
6.0,155000.0,Bachelor's Degree
5.0,145000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
9.0,185000.0,Bachelor's Degree
6.0,155000.0,Bachelor's Degree
5.0,145000.0,Bachelor's Degree
3.0,125000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
7.0,170000.0,Bachelor's Degree
6.0,155000.0,Bachelor's Degree
5.0,145000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
9.0,185000.0,Bachelor's Degree
6.0,155000.0,Bachelor's Degree
5.0,145000.0,Bachelor's Degree
3.0,125000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
7.0,170000.0,Bachelor's Degree
6.0,155000.0,Bachelor's Degree
5.0,145000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
9.0,185000.0,Bachelor's Degree
6.0,155000.0,Bachelor's Degree
5.0,145000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
9.0,185000.0,Bachelor's Degree
6.0,155000.0,Bachelor's Degree
5.0,145000.0,Bachelor's Degree
3.0,125000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
7.0,170000.0,Bachelor's Degree
6.0,155000.0,Bachelor's Degree
5.0,145000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
9.0,185000.0,Bachelor's Degree
6.0,155000.0,Bachelor's Degree
5.0,145000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
9.0,185000.0,Bachelor's Degree
6.0,155000.0,Bachelor's Degree
5.0,145000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
9.0,185000.0,Bachelor's Degree
6.0,155000.0,Bachelor's Degree
5.0,145000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
9.0,185000.0,Bachelor's Degree
6.0,155000.0,Bachelor's Degree
5.0,145000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
9.0,185000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
4.0,150000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
1.0,95000.0,Bachelor's Degree
6.0,175000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
4.0,150000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
4.0,150000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,125000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
4.0,150000.0,Bachelor's Degree
1.0,95000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
6.0,170000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,135000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,115000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
4.0,150000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
4.0,150000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
3.0,125000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
1.0,92000.0,Bachelor's Degree
6.0,170000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,135000.0,Bachelor's Degree
5.0,165000.0,Bachelor's Degree
1.0,95000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,115000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
4.0,150000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
4.0,150000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,135000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
1.0,95000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
4.0,150000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
2.0,115000.0,Bachelor's Degree
5.0,165000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
1.0,92000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
9.0,195000.0,Bachelor's Degree
5.0,160000.0,Bachelor's Degree
3.0,130000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
1.0,90000.0,Bachelor's Degree
4.0,140000.0,Bachelor's Degree
2.0,110000.0,Bachelor's Degree
4.0,160000.0,Bachelor's Degree
8.0,180000.0,Bachelor's Degree
5.0,140000.0,Bachelor's Degree
2.0,100000.0,Bachelor's Degree
4.0,160000.0,Bachelor's Degree
3.0,120000.0,Bachelor's Degree
9.0,190000.0,Bachelor's Degree
5.0,150000.0,Bachelor's Degree
3.0,120000.0,Bachelor's Degree
4.0,130000.0,Bachelor's Degree
2.0,95000.0,Bachelor's Degree
2.0,100000.0,Bachelor's Degree
5.0,150000.0,Bachelor's Degree
3.0,120000.0,Bachelor's Degree
8.0,180000.0,Bachelor's Degree
4.0,160000.0,Bachelor's Degree
5.0,140000.0,Bachelor's Degree
2.0,95000.0,Bachelor's Degree
5.0,150000.0,Bachelor's Degree
3.0,120000.0,Bachelor's Degree
8.0,180000.0,Bachelor's Degree
2.0,100000.0,Bachelor's Degree
4.0,160000.0,Bachelor's Degree
9.0,190000.0,Bachelor's Degree
5.0,150000.0,Bachelor's Degree
3.0,120000.0,Bachelor's Degree
8.0,180000.0,Bachelor's Degree
2.0,95000.0,Bachelor's Degree
4.0,160000.0,Bachelor's Degree
2.0,100000.0,Bachelor's Degree
9.0,190000.0,Bachelor's Degree
5.0,150000.0,Bachelor's Degree
3.0,120000.0,Bachelor's Degree
8.0,180000.0,Bachelor's Degree
2.0,95000.0,Bachelor's Degree
4.0,160000.0,Bachelor's Degree
2.0,100000.0,Bachelor's Degree
9.0,190000.0,Bachelor's Degree
5.0,150000.0,Bachelor's Degree
3.0,120000.0,Bachelor's Degree
8.0,180000.0,Bachelor's Degree
2.0,95000.0,Bachelor's Degree
4.0,160000.0,Bachelor's Degree
2.0,100000.0,Bachelor's Degree
9.0,190000.0,Bachelor's Degree
5.0,150000.0,Bachelor's Degree
3.0,120000.0,Bachelor's Degree
8.0,180000.0,Bachelor's Degree
2.0,95000.0,Bachelor's Degree
4.0,160000.0,Bachelor's Degree
2.0,100000.0,Bachelor's Degree
9.0,190000.0,Bachelor's Degree
5.0,150000.0,Bachelor's Degree
3.0,120000.0,Bachelor's Degree
8.0,180000.0,Bachelor's Degree
2.0,95000.0,Bachelor's Degree
4.0,160000.0,Bachelor's Degree
2.0,100000.0,Bachelor's Degree
9.0,190000.0,Bachelor's Degree
5.0,150000.0,Bachelor's Degree
3.0,120000.0,Bachelor's Degree
8.0,180000.0,Bachelor's Degree
2.0,95000.0,Bachelor's Degree
4.0,160000.0,Bachelor's Degree
2.0,100000.0,Bachelor's Degree
9.0,190000.0,Bachelor's Degree
5.0,150000.0,Bachelor's Degree
3.0,120000.0,Bachelor's Degree
8.0,180000.0,Bachelor's Degree
2.0,95000.0,Bachelor's Degree
4.0,160000.0,Bachelor's Degree
2.0,100000.0,Bachelor's Degree
9.0,190000.0,Bachelor's Degree
5.0,150000.0,Bachelor's Degree
3.0,120000.0,Bachelor's Degree
8.0,180000.0,Bachelor's Degree
2.0,95000.0,Bachelor's Degree
4.0,160000.0,Bachelor's Degree
2.0,100000.0,Bachelor's Degree
9.0,190000.0,Bachelor's Degree
5.0,150000.0,Bachelor's Degree
3.0,120000.0,Bachelor's Degree
8.0,180000.0,Bachelor's Degree
2.0,95000.0,Bachelor's Degree
4.0,160000.0,Bachelor's Degree
2.0,100000.0,Bachelor's Degree
9.0,190000.0,Bachelor's Degree
5.0,150000.0,Bachelor's Degree
3.0,120000.0,Bachelor's Degree
8.0,180000.0,Bachelor's Degree
2.0,95000.0,Bachelor's Degree
4.0,160000.0,Bachelor's Degree
2.0,100000.0,Bachelor's Degree
7.0,180000.0,Bachelor's Degree
5.0,120000.0,Bachelor's Degree
4.0,160000.0,Bachelor's Degree
3.0,100000.0,Bachelor's Degree
8.0,190000.0,Bachelor's Degree
9.0,185000.0,Bachelor's Degree
7.0,130000.0,Bachelor's Degree
12.0,190000.0,Bachelor's Degree
5.0,150000.0,Bachelor's Degree
3.0,110000.0,Bachelor's Degree
8.0,180000.0,Bachelor's Degree
7.0,130000.0,Bachelor's Degree
10.0,190000.0,Bachelor's Degree
12.0,195000.0,Bachelor's Degree
2.0,90000.0,Bachelor's Degree
8.0,185000.0,Bachelor's Degree
6.0,120000.0,Bachelor's Degree
9.0,180000.0,Bachelor's Degree
3.0,100000.0,Bachelor's Degree
4.0,160000.0,Bachelor's Degree
5.0,125000.0,Bachelor's Degree
9.0,185000.0,Bachelor's Degree
7.0,130000.0,Bachelor's Degree
12.0,190000.0,Bachelor's Degree
5.0,150000.0,Bachelor's Degree
3.0,110000.0,Bachelor's Degree
8.0,180000.0,Bachelor's Degree
7.0,130000.0,Bachelor's Degree
10.0,190000.0,Bachelor's Degree
12.0,195000.0,Bachelor's Degree
2.0,90000.0,Bachelor's Degree
8.0,185000.0,Bachelor's Degree
6.0,120000.0,Bachelor's Degree
9.0,180000.0,Bachelor's Degree
3.0,100000.0,Bachelor's Degree
4.0,160000.0,Bachelor's Degree
5.0,125000.0,Bachelor's Degree
9.0,185000.0,Bachelor's Degree
7.0,130000.0,Bachelor's Degree
12.0,190000.0,Bachelor's Degree
5.0,150000.0,Bachelor's Degree
3.0,110000.0,Bachelor's Degree
8.0,180000.0,Bachelor's Degree
7.0,130000.0,Bachelor's Degree
10.0,190000.0,Bachelor's Degree
12.0,195000.0,Bachelor's Degree
2.0,90000.0,Bachelor's Degree
8.0,185000.0,Bachelor's Degree
6.0,120000.0,Bachelor's Degree
9.0,180000.0,Bachelor's Degree
3.0,100000.0,Bachelor's Degree
4.0,160000.0,Bachelor's Degree
5.0,125000.0,Bachelor's Degree
9.0,185000.0,Bachelor's Degree
7.0,130000.0,Bachelor's Degree
12.0,190000.0,Bachelor's Degree
5.0,150000.0,Bachelor's Degree
3.0,110000.0,Bachelor's Degree
8.0,180000.0,Bachelor's Degree
