Age,Gender,Education Level,Job Title,Years of Experience,Salary
34,Male,Bachelor's Degree,Senior Quality Assurance Analyst,9,100000
28,Male,Bachelor's Degree,Junior Operations Analyst,1.5,35000
39,Female,Bachelor's Degree,Senior Account Executive,12,95000
30,Female,Bachelor's Degree,Junior Social Media Manager,3,45000
34,Male,Bachelor's Degree,Senior Product Manager,7,95000
28,Male,Bachelor's Degree,Junior Business Analyst,2,40000
41,Female,Bachelor's Degree,Senior Marketing Coordinator,11,90000
32,Female,Bachelor's Degree,Junior Account Manager,5,55000
30,Male,Bachelor's Degree,Junior Advertising Coordinator,3,45000
44,Male,Bachelor's Degree,Senior Sales Manager,16,130000
36,Male,Bachelor's Degree,Senior Accountant,7,90000
31,Male,Bachelor's Degree,Junior HR Generalist,4,50000
39,Female,Bachelor's Degree,Senior Operations Manager,10,120000
30,Female,Bachelor's Degree,Junior Marketing Coordinator,2,40000
28,Male,Bachelor's Degree,Junior Business Development Associate,2,40000
35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000
44,Male,Bachelor's Degree,Senior Software Engineer,14,130000
35,Male,Bachelor's Degree,Senior Project Coordinator,9,95000
29,Male,Bachelor's Degree,Junior Business Operations Analyst,1.5,35000
40,Female,Bachelor's Degree,Senior Sales Representative,12,100000
31,Female,Bachelor's Degree,Junior Social Media Specialist,3,45000
33,Male,Bachelor's Degree,Senior Product Development Manager,7,100000
28,Male,Bachelor's Degree,Junior Financial Analyst,2,40000
40,Female,Bachelor's Degree,Senior Marketing Manager,11,105000
33,Female,Bachelor's Degree,Junior Operations Manager,5,70000
30,Male,Bachelor's Degree,Junior Marketing Specialist,3,45000
43,Male,Bachelor's Degree,Senior Project Manager,15,120000
35,Male,Bachelor's Degree,Senior Operations Analyst,8,85000
32,Male,Bachelor's Degree,Junior Sales Representative,3,45000
37,Female,Bachelor's Degree,Senior Financial Analyst,9,100000
33,Female,Bachelor's Degree,Junior Operations Analyst,5,70000
39,Male,Bachelor's Degree,Senior Marketing Specialist,10,120000
29,Male,Bachelor's Degree,Junior Business Analyst,1.5,40000
38,Female,Bachelor's Degree,Senior Product Manager,10,120000
34,Female,Bachelor's Degree,Junior Marketing Analyst,6,70000
36,Male,Bachelor's Degree,Senior Operations Manager,8,95000
31,Male,Bachelor's Degree,Junior Financial Analyst,3,50000
41,Female,Bachelor's Degree,Senior Project Coordinator,11,95000
30,Female,Bachelor's Degree,Junior Marketing Coordinator,2,40000
28,Male,Bachelor's Degree,Junior Business Development Associate,2,40000
35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000
44,Male,Bachelor's Degree,Senior Software Engineer,14,130000
35,Male,Bachelor's Degree,Senior Project Coordinator,9,95000
29,Male,Bachelor's Degree,Junior Business Operations Analyst,1.5,350
37,Female,Bachelor's Degree,Senior Financial Manager,10,120000
31,Female,Bachelor's Degree,Junior Marketing Coordinator,3,50000
42,Male,Bachelor's Degree,Senior Operations Manager,12,110000
29,Female,Bachelor's Degree,Junior Sales Representative,1.5,40000
36,Male,Bachelor's Degree,Senior Marketing Specialist,8,95000
33,Male,Bachelor's Degree,Junior Operations Manager,4,60000
39,Female,Bachelor's Degree,Senior Marketing Coordinator,9,110000
32,Female,Bachelor's Degree,Junior Marketing Manager,4,60000
37,Male,Bachelor's Degree,Senior Financial Analyst,8,90000
30,Male,Bachelor's Degree,Junior Business Analyst,2,40000
38,Female,Bachelor's Degree,Senior Project Manager,9,120000
34,Female,Bachelor's Degree,Junior Financial Analyst,5,70000
36,Male,Bachelor's Degree,Senior Product Manager,8,95000
31,Male,Bachelor's Degree,Junior Operations Analyst,3,50000
41,Female,Bachelor's Degree,Senior Project Coordinator,11,95000
29,Female,Bachelor's Degree,Junior Business Development Associate,1.5,35000
35,Male,Bachelor's Degree,Senior Financial Manager,9,100000
33,Male,Bachelor's Degree,Junior Business Analyst,4,60000
35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000
44,Male,Bachelor's Degree,Senior Software Engineer,13,130000
32,Male,Bachelor's Degree,Junior Product Manager,4,65000
38,Female,Bachelor's Degree,Senior Business Analyst,10,110000
29,Female,Bachelor's Degree,Junior Marketing Specialist,2,40000
35,Male,Bachelor's Degree,Senior Business Development Manager,7,90000
33,Male,Bachelor's Degree,Junior Financial Analyst,4,60000
40,Female,Bachelor's Degree,Senior Marketing Manager,12,130000
30,Female,Bachelor's Degree,Junior Operations Coordinator,2,40000
37,Male,Bachelor's Degree,Senior Marketing Analyst,9,100000
31,Male,Bachelor's Degree,Junior Project Manager,3,55000
38,Female,Bachelor's Degree,Senior Operations Coordinator,9,120000
33,Female,Bachelor's Degree,Junior Marketing Manager,5,70000
36,Male,Bachelor's Degree,Senior Business Analyst,8,95000
31,Male,Bachelor's Degree,Junior Operations Analyst,3,50000
42,Female,Bachelor's Degree,Senior Project Manager,12,120000
29,Female,Bachelor's Degree,Junior Business Development Associate,1.5,35000
35,Male,Bachelor's Degree,Senior Financial Manager,9,100000
33,Male,Bachelor's Degree,Junior Business Analyst,4,60000
35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000
44,Male,Bachelor's Degree,Senior Software Engineer,13,130000
36,Male,Bachelor's Degree,Senior Marketing Specialist,8,95000
30,Female,Bachelor's Degree,Junior HR Coordinator,2,40000
37,Male,Bachelor's Degree,Senior Business Development Manager,10,120000
32,Male,Bachelor's Degree,Junior Financial Advisor,4,65000
39,Female,Bachelor's Degree,Senior Project Manager,12,130000
29,Female,Bachelor's Degree,Junior Marketing Analyst,2,40000
36,Male,Bachelor's Degree,Senior Operations Manager,9,100000
32,Male,Bachelor's Degree,Junior Marketing Coordinator,3,55000
38,Female,Bachelor's Degree,Senior Business Analyst,10,110000
31,Female,Bachelor's Degree,Junior Business Development Associate,3,50000
40,Male,Bachelor's Degree,Senior Financial Analyst,12,130000
33,Male,Bachelor's Degree,Junior Product Manager,4,60000
36,Female,Bachelor's Degree,Senior Marketing Manager,8,95000
29,Female,Bachelor's Degree,Junior Project Manager,2,40000
34,Male,Bachelor's Degree,Senior Operations Coordinator,7,90000
33,Male,Bachelor's Degree,Junior Marketing Specialist,5,70000
35,Female,Bachelor's Degree,Senior Financial Manager,8,90000
31,Female,Bachelor's Degree,Junior Financial Analyst,3,50000
41,Male,Bachelor's Degree,Senior Product Manager,14,150000
33,Male,Bachelor's Degree,Junior Business Analyst,4,60000
35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000
28,Female,Bachelor's Degree,Junior Operations Manager,1,35000
36,Male,Bachelor's Degree,Senior Business Development Manager,8,110000
31,Male,Bachelor's Degree,Junior Marketing Coordinator,3,55000
38,Female,Bachelor's Degree,Senior Business Analyst,10,110000
31,Female,Bachelor's Degree,Junior Business Development Associate,3,50000
40,Male,Bachelor's Degree,Senior Financial Analyst,12,130000
33,Male,Bachelor's Degree,Junior Product Manager,4,60000
36,Female,Bachelor's Degree,Senior Marketing Manager,8,95000
29,Female,Bachelor's Degree,Junior Project Manager,2,40000
34,Male,Bachelor's Degree,Senior Operations Coordinator,7,90000
33,Male,Bachelor's Degree,Junior Marketing Specialist,5,70000
35,Female,Bachelor's Degree,Senior Financial Manager,8,90000
31,Female,Bachelor's Degree,Junior Financial Analyst,3,50000
41,Male,Bachelor's Degree,Senior Product Manager,14,150000
33,Male,Bachelor's Degree,Junior Business Analyst,4,60000
35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000
29,Female,Bachelor's Degree,Junior Project Manager,2,40000
34,Male,Bachelor's Degree,Senior Operations Coordinator,7,90000
28,Female,Bachelor's Degree,Software Engineer,3,125000
27,Female,Bachelor's Degree,Data Analyst,2,110000
29,Female,Bachelor's Degree,Software Engineer,4,140000
32,Male,Bachelor's Degree,Product Manager,7,170000
31,Female,Bachelor's Degree,Software Engineer,6,155000
30,Female,Bachelor's Degree,Data Analyst,5,145000
29,Female,Bachelor's Degree,Software Engineer,4,140000
34,Male,Bachelor's Degree,Product Manager,9,185000
31,Female,Bachelor's Degree,Software Engineer,6,155000
30,Female,Bachelor's Degree,Data Analyst,5,145000
28,Male,Bachelor's Degree,Software Engineer,3,125000
27,Male,Bachelor's Degree,Data Analyst,2,110000
29,Male,Bachelor's Degree,Software Engineer,4,140000
32,Male,Bachelor's Degree,Product Manager,7,170000
31,Female,Bachelor's Degree,Software Engineer,6,155000
30,Female,Bachelor's Degree,Data Analyst,5,145000
29,Female,Bachelor's Degree,Software Engineer,4,140000
34,Male,Bachelor's Degree,Product Manager,9,185000
31,Female,Bachelor's Degree,Software Engineer,6,155000
30,Female,Bachelor's Degree,Data Analyst,5,145000
28,Male,Bachelor's Degree,Software Engineer,3,125000
27,Male,Bachelor's Degree,Data Analyst,2,110000
29,Male,Bachelor's Degree,Software Engineer,4,140000
32,Male,Bachelor's Degree,Product Manager,7,170000
31,Female,Bachelor's Degree,Software Engineer,6,155000
30,Female,Bachelor's Degree,Data Analyst,5,145000
29,Female,Bachelor's Degree,Software Engineer,4,140000
34,Male,Bachelor's Degree,Product Manager,9,185000
31,Female,Bachelor's Degree,Software Engineer,6,155000
30,Female,Bachelor's Degree,Data Analyst,5,145000
28,Male,Bachelor's Degree,Software Engineer,3,125000
27,Male,Bachelor's Degree,Data Analyst,2,110000
29,Male,Bachelor's Degree,Software Engineer,4,140000
32,Male,Bachelor's Degree,Product Manager,7,170000
31,Female,Bachelor's Degree,Software Engineer,6,155000
30,Female,Bachelor's Degree,Data Analyst,5,145000
29,Female,Bachelor's Degree,Software Engineer,4,140000
34,Male,Bachelor's Degree,Product Manager,9,185000
31,Female,Bachelor's Degree,Software Engineer,6,155000
30,Female,Bachelor's Degree,Data Analyst,5,145000
29,Female,Bachelor's Degree,Software Engineer,4,140000
34,Male,Bachelor's Degree,Product Manager,9,185000
31,Female,Bachelor's Degree,Software Engineer,6,155000
30,Female,Bachelor's Degree,Data Analyst,5,145000
28,Male,Bachelor's Degree,Software Engineer,3,125000
27,Male,Bachelor's Degree,Data Analyst,2,110000
29,Male,Bachelor's Degree,Software Engineer,4,140000
32,Male,Bachelor's Degree,Product Manager,7,170000
31,Female,Bachelor's Degree,Software Engineer,6,155000
30,Female,Bachelor's Degree,Data Analyst,5,145000
29,Female,Bachelor's Degree,Software Engineer,4,140000
34,Male,Bachelor's Degree,Product Manager,9,185000
31,Female,Bachelor's Degree,Software Engineer,6,155000
30,Female,Bachelor's Degree,Data Analyst,5,145000
29,Female,Bachelor's Degree,Software Engineer,4,140000
34,Male,Bachelor's Degree,Product Manager,9,185000
31,Female,Bachelor's Degree,Software Engineer,6,155000
30,Female,Bachelor's Degree,Data Analyst,5,145000
29,Female,Bachelor's Degree,Software Engineer,4,140000
34,Male,Bachelor's Degree,Product Manager,9,185000
31,Female,Bachelor's Degree,Software Engineer,6,155000
30,Female,Bachelor's Degree,Data Analyst,5,145000
29,Female,Bachelor's Degree,Software Engineer,4,140000
34,Male,Bachelor's Degree,Product Manager,9,185000
31,Female,Bachelor's Degree,Software Engineer,6,155000
30,Female,Bachelor's Degree,Data Analyst,5,145000
29,Female,Bachelor's Degree,Software Engineer,4,140000
34,Male,Bachelor's Degree,Product Manager,9,185000
26,Male,Bachelor's Degree,Data Analyst,3,130000
32,Male,Bachelor's Degree,Software Engineer,8,190000
27,Female,Bachelor's Degree,Product Manager,4,150000
24,Male,Bachelor's Degree,Data Analyst,1,90000
28,Male,Bachelor's Degree,Software Engineer,5,160000
25,Male,Bachelor's Degree,Data Analyst,2,110000
27,Male,Bachelor's Degree,Software Engineer,4,140000
23,Male,Bachelor's Degree,Data Analyst,1,95000
29,Male,Bachelor's Degree,Software Engineer,6,175000
30,Female,Bachelor's Degree,Product Manager,5,160000
26,Male,Bachelor's Degree,Data Analyst,3,130000
28,Male,Bachelor's Degree,Software Engineer,5,160000
24,Male,Bachelor's Degree,Data Analyst,1,90000
27,Male,Bachelor's Degree,Software Engineer,4,140000
25,Male,Bachelor's Degree,Data Analyst,2,110000
32,Male,Bachelor's Degree,Software Engineer,8,190000
27,Female,Bachelor's Degree,Product Manager,4,150000
31,Male,Bachelor's Degree,Data Analyst,9,195000
28,Female,Bachelor's Degree,Software Engineer,5,160000
26,Female,Bachelor's Degree,Data Analyst,3,130000
27,Female,Bachelor's Degree,Software Engineer,4,140000
25,Female,Bachelor's Degree,Data Analyst,2,110000
32,Male,Bachelor's Degree,Software Engineer,8,190000
30,Male,Bachelor's Degree,Data Analyst,5,160000
24,Male,Bachelor's Degree,Data Analyst,1,90000
28,Male,Bachelor's Degree,Software Engineer,5,160000
27,Female,Bachelor's Degree,Product Manager,4,150000
26,Male,Bachelor's Degree,Data Analyst,3,130000
32,Male,Bachelor's Degree,Software Engineer,8,190000
25,Male,Bachelor's Degree,Data Analyst,2,110000
27,Male,Bachelor's Degree,Software Engineer,4,140000
31,Male,Bachelor's Degree,Data Analyst,9,195000
28,Female,Bachelor's Degree,Software Engineer,5,160000
26,Male,Bachelor's Degree,Data Analyst,3,130000
32,Male,Bachelor's Degree,Software Engineer,8,190000
24,Male,Bachelor's Degree,Data Analyst,1,90000
27,Male,Bachelor's Degree,Software Engineer,4,140000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
28,Female,Bachelor's Degree,Software Engineer,5,160000
26,Male,Bachelor's Degree,Data Analyst,3,130000
32,Male,Bachelor's Degree,Software Engineer,8,190000
24,Male,Bachelor's Degree,Data Analyst,1,90000
27,Male,Bachelor's Degree,Software Engineer,4,140000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
28,Female,Bachelor's Degree,Software Engineer,5,160000
26,Male,Bachelor's Degree,Data Analyst,3,130000
32,Male,Bachelor's Degree,Software Engineer,8,190000
24,Male,Bachelor's Degree,Data Analyst,1,90000
27,Male,Bachelor's Degree,Software Engineer,4,140000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
28,Female,Bachelor's Degree,Software Engineer,5,160000
26,Male,Bachelor's Degree,Data Analyst,3,130000
32,Male,Bachelor's Degree,Software Engineer,8,190000
24,Male,Bachelor's Degree,Data Analyst,1,90000
27,Male,Bachelor's Degree,Software Engineer,4,140000
25,Male,Bachelor's Degree,Data Analyst,2,125000
30,Male,Bachelor's Degree,Software Engineer,8,190000
27,Female,Bachelor's Degree,Product Manager,4,150000
24,Male,Bachelor's Degree,Data Analyst,1,95000
28,Male,Bachelor's Degree,Software Engineer,5,160000
26,Male,Bachelor's Degree,Data Analyst,3,130000
27,Male,Bachelor's Degree,Software Engineer,4,140000
23,Male,Bachelor's Degree,Data Analyst,1,90000
29,Male,Bachelor's Degree,Software Engineer,6,170000
30,Female,Bachelor's Degree,Product Manager,5,160000
26,Male,Bachelor's Degree,Data Analyst,3,135000
28,Male,Bachelor's Degree,Software Engineer,5,160000
24,Male,Bachelor's Degree,Data Analyst,1,90000
27,Male,Bachelor's Degree,Software Engineer,4,140000
25,Male,Bachelor's Degree,Data Analyst,2,115000
32,Male,Bachelor's Degree,Software Engineer,8,190000
27,Female,Bachelor's Degree,Product Manager,4,150000
31,Male,Bachelor's Degree,Data Analyst,9,195000
28,Female,Bachelor's Degree,Software Engineer,5,160000
26,Female,Bachelor's Degree,Data Analyst,3,130000
27,Female,Bachelor's Degree,Software Engineer,4,140000
25,Female,Bachelor's Degree,Data Analyst,2,110000
32,Male,Bachelor's Degree,Software Engineer,8,190000
30,Male,Bachelor's Degree,Data Analyst,5,160000
24,Male,Bachelor's Degree,Data Analyst,1,90000
28,Male,Bachelor's Degree,Software Engineer,5,160000
27,Female,Bachelor's Degree,Product Manager,4,150000
26,Male,Bachelor's Degree,Data Analyst,3,130000
32,Male,Bachelor's Degree,Software Engineer,8,190000
25,Male,Bachelor's Degree,Data Analyst,2,110000
27,Male,Bachelor's Degree,Software Engineer,4,140000
31,Male,Bachelor's Degree,Data Analyst,9,195000
28,Female,Bachelor's Degree,Software Engineer,5,160000
26,Male,Bachelor's Degree,Data Analyst,3,130000
32,Male,Bachelor's Degree,Software Engineer,8,190000
24,Male,Bachelor's Degree,Data Analyst,1,90000
27,Male,Bachelor's Degree,Software Engineer,4,140000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
28,Female,Bachelor's Degree,Software Engineer,5,160000
26,Male,Bachelor's Degree,Data Analyst,3,130000
32,Male,Bachelor's Degree,Software Engineer,8,190000
24,Male,Bachelor's Degree,Data Analyst,1,90000
27,Male,Bachelor's Degree,Software Engineer,4,140000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
28,Female,Bachelor's Degree,Software Engineer,5,160000
26,Male,Bachelor's Degree,Data Analyst,3,130000
32,Male,Bachelor's Degree,Software Engineer,8,190000
24,Male,Bachelor's Degree,Data Analyst,1,90000
27,Male,Bachelor's Degree,Software Engineer,4,140000
23,Male,Bachelor's Degree,Data Analyst,1,90000
32,Male,Bachelor's Degree,Software Engineer,8,190000
24,Female,Bachelor's Degree,Product Manager,3,125000
25,Male,Bachelor's Degree,Data Analyst,2,110000
28,Male,Bachelor's Degree,Software Engineer,5,160000
26,Male,Bachelor's Degree,Data Analyst,3,130000
27,Male,Bachelor's Degree,Software Engineer,4,140000
23,Male,Bachelor's Degree,Data Analyst,1,92000
29,Male,Bachelor's Degree,Software Engineer,6,170000
30,Female,Bachelor's Degree,Product Manager,5,160000
26,Male,Bachelor's Degree,Data Analyst,3,135000
28,Male,Bachelor's Degree,Software Engineer,5,165000
24,Male,Bachelor's Degree,Data Analyst,1,95000
27,Male,Bachelor's Degree,Software Engineer,4,140000
25,Male,Bachelor's Degree,Data Analyst,2,115000
32,Male,Bachelor's Degree,Software Engineer,8,190000
27,Female,Bachelor's Degree,Product Manager,4,150000
31,Male,Bachelor's Degree,Data Analyst,9,195000
28,Female,Bachelor's Degree,Software Engineer,5,160000
26,Female,Bachelor's Degree,Data Analyst,3,130000
27,Female,Bachelor's Degree,Software Engineer,4,140000
25,Female,Bachelor's Degree,Data Analyst,2,110000
32,Male,Bachelor's Degree,Software Engineer,8,190000
30,Male,Bachelor's Degree,Data Analyst,5,160000
24,Male,Bachelor's Degree,Data Analyst,1,90000
28,Male,Bachelor's Degree,Software Engineer,5,160000
27,Female,Bachelor's Degree,Product Manager,4,150000
26,Male,Bachelor's Degree,Data Analyst,3,130000
32,Male,Bachelor's Degree,Software Engineer,8,190000
25,Male,Bachelor's Degree,Data Analyst,2,110000
27,Male,Bachelor's Degree,Software Engineer,4,140000
31,Male,Bachelor's Degree,Data Analyst,9,195000
28,Female,Bachelor's Degree,Software Engineer,5,160000
26,Male,Bachelor's Degree,Data Analyst,3,130000
32,Male,Bachelor's Degree,Software Engineer,8,190000
24,Male,Bachelor's Degree,Data Analyst,1,90000
27,Male,Bachelor's Degree,Software Engineer,4,140000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
28,Female,Bachelor's Degree,Software Engineer,5,160000
26,Male,Bachelor's Degree,Data Analyst,3,130000
32,Male,Bachelor's Degree,Software Engineer,8,190000
24,Male,Bachelor's Degree,Data Analyst,1,90000
27,Male,Bachelor's Degree,Software Engineer,4,140000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
28,Female,Bachelor's Degree,Software Engineer,5,160000
26,Male,Bachelor's Degree,Data Analyst,3,130000
32,Male,Bachelor's Degree,Software Engineer,8,190000
24,Male,Bachelor's Degree,Data Analyst,1,90000
27,Male,Bachelor's Degree,Software Engineer,4,140000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
28,Female,Bachelor's Degree,Software Engineer,5,160000
26,Male,Bachelor's Degree,Data Analyst,3,130000
32,Male,Bachelor's Degree,Software Engineer,8,190000
24,Male,Bachelor's Degree,Data Analyst,1,90000
27,Male,Bachelor's Degree,Software Engineer,4,140000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
28,Female,Bachelor's Degree,Software Engineer,5,160000
26,Male,Bachelor's Degree,Data Analyst,3,130000
32,Male,Bachelor's Degree,Software Engineer,8,190000
24,Male,Bachelor's Degree,Data Analyst,1,90000
27,Male,Bachelor's Degree,Software Engineer,4,140000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
28,Female,Bachelor's Degree,Software Engineer,5,160000
26,Male,Bachelor's Degree,Data Analyst,3,130000
32,Male,Bachelor's Degree,Software Engineer,8,190000
24,Male,Bachelor's Degree,Data Analyst,1,90000
27,Male,Bachelor's Degree,Software Engineer,4,140000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
28,Female,Bachelor's Degree,Software Engineer,5,160000
26,Male,Bachelor's Degree,Data Analyst,3,130000
32,Male,Bachelor's Degree,Software Engineer,8,190000
24,Male,Bachelor's Degree,Data Analyst,1,90000
27,Male,Bachelor's Degree,Software Engineer,4,140000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
28,Female,Bachelor's Degree,Software Engineer,5,160000
26,Male,Bachelor's Degree,Data Analyst,3,130000
32,Male,Bachelor's Degree,Software Engineer,8,190000
24,Male,Bachelor's Degree,Data Analyst,1,90000
27,Male,Bachelor's Degree,Software Engineer,4,140000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
28,Female,Bachelor's Degree,Software Engineer,5,160000
25,Male,Bachelor's Degree,Data Analyst,3,135000
32,Male,Bachelor's Degree,Software Engineer,8,190000
